Time,UB,LB
0.000000,256.683194,0.000000
1.827792,56.146854,0.000000
1.827866,49.609050,0.000000
1.827903,40.903107,0.000000
1.829512,38.861325,0.000000
1.832464,38.706797,0.000000
1.834947,38.634125,0.000000
1.838834,37.905942,0.000000
1.855700,37.206797,0.000000
1.858568,36.434125,0.000000
7.047214,36.434125,0.002294
7.048360,36.434125,0.055414
7.048659,36.434125,0.067734
7.050230,36.434125,0.076406
7.050367,36.434125,0.119616
7.050510,36.434125,0.154102
7.055633,36.434125,0.181344
7.055770,36.434125,0.240598
7.055858,36.434125,0.243072
7.056193,36.434125,0.271424
7.060095,36.434125,0.357856
7.063197,36.434125,0.372662
7.064637,36.434125,0.407264
7.064761,36.434125,0.431789
7.065127,36.434125,0.449069
7.065521,36.434125,0.459094
7.066759,36.434125,0.508502
7.066866,36.434125,0.634253
7.067066,36.434125,0.767734
7.067671,36.434125,0.789952
7.069092,36.434125,0.798624
7.069333,36.434125,0.854102
7.071570,36.434125,0.910934
7.072258,36.434125,0.950304
7.072547,36.434125,1.012032
7.072883,36.434125,1.057856
7.073463,36.434125,1.107264
7.073633,36.434125,1.115744
7.073909,36.434125,1.124160
7.074739,36.434125,1.165037
7.075143,36.434125,1.168992
7.075310,36.434125,1.179715
7.075440,36.434125,1.192269
7.075588,36.434125,1.214509
7.075864,36.434125,1.251469
7.076257,36.434125,1.302294
7.077088,36.434125,1.350272
7.077935,36.434125,1.374989
7.078148,36.434125,1.428960
7.078415,36.434125,1.489952
7.078679,36.434125,1.672291
7.081025,36.434125,1.672662
7.081882,36.434125,1.765037
7.082303,36.434125,1.831789
7.082565,36.434125,1.839149
7.083674,36.434125,1.876224
7.083820,36.434125,1.945155
7.083952,36.434125,1.974989
7.084290,36.434125,1.979936
7.084424,36.434125,2.024352
7.085320,36.434125,2.025440
7.085599,36.434125,2.105635
7.085671,36.434125,2.118189
7.085753,36.434125,2.140429
7.085893,36.434125,2.159802
7.086202,36.434125,2.303235
7.086468,36.434125,2.354880
7.086633,36.434125,2.692128
7.086933,36.434125,2.715725
7.087215,36.434125,2.746371
7.087374,36.434125,2.757709
7.087451,36.434125,2.758755
7.087616,36.434125,2.765088
7.088213,36.434125,2.871075
7.088355,36.434125,2.900909
7.088497,36.434125,2.951360
7.088659,36.434125,3.036672
7.089496,36.434125,3.110624
7.089896,36.434125,3.229155
7.090138,36.434125,3.239149
7.090406,36.434125,3.337952
7.090548,36.434125,3.414339
7.090811,36.434125,3.493184
7.091151,36.434125,3.562467
7.091285,36.434125,3.629120
7.091592,36.434125,3.641645
7.091733,36.434125,3.672291
7.091808,36.434125,3.772291
7.092628,36.434125,3.988416
7.092767,36.434125,4.083258
7.092898,36.434125,4.202144
7.092968,36.434125,4.221728
7.093111,36.434125,4.340259
7.093317,36.434125,4.487107
7.093867,36.434125,4.555040
7.094008,36.434125,4.580960
7.094279,36.434125,4.614144
7.094537,36.434125,4.974656
7.094874,36.434125,5.009178
7.095044,36.434125,5.018019
7.095401,36.434125,5.024333
7.095953,36.434125,5.073232
7.096333,36.434125,5.203203
7.096604,36.434125,5.210624
7.096969,36.434125,5.226829
7.097180,36.434125,5.332832
7.097318,36.434125,5.344986
7.097616,36.434125,5.404282
7.097778,36.434125,5.503040
7.097910,36.434125,5.540064
7.098065,36.434125,5.784675
7.098137,36.434125,5.885722
7.098293,36.434125,5.943939
7.098435,36.434125,5.967565
7.098645,36.434125,6.129027
7.099454,36.434125,6.136544
7.099618,36.434125,6.698211
7.099794,36.434125,6.814304
7.100103,36.434125,6.900570
7.100380,36.434125,6.938976
7.100594,36.434125,6.971424
7.100804,36.434125,7.215862
7.101021,36.434125,7.264528
7.101387,36.434125,7.425411
7.101524,36.434125,7.481101
7.101933,36.434125,7.580960
7.102144,36.434125,7.740224
7.102282,36.434125,7.814624
7.102489,36.434125,7.915862
7.102824,36.434125,7.922778
7.103180,36.434125,8.159738
7.103369,36.434125,8.514624
7.103694,36.434125,8.628784
7.103995,36.434125,8.765069
7.104692,36.434125,8.848698
7.104851,36.434125,8.881101
7.104986,36.434125,9.371750
7.105250,36.434125,9.397334
7.105460,36.434125,10.165069
7.105661,36.434125,10.297670
7.105790,36.434125,10.394637
7.107211,36.434125,11.794637
7.107459,36.434125,12.005571
7.107826,36.434125,12.105571
7.108205,36.434125,36.434125
