Node Name,Lower Bound,Completion Time,Unassigned Count,Unassigned Parts
Root_0,138.788534,27.177760,10,"1;2;3;4;5;6;7;8;9;10"
Root_1,35.131904,12.229600,10,"0;2;3;4;5;6;7;8;9;10"
Root_2,177.484534,31.807360,9,"2;3;4;5;6;7;8;9;10"
Root_3,17.459200,5.025920,10,"0;1;3;4;5;6;7;8;9;10"
Root_4,143.947734,28.103680,9,"1;3;4;5;6;7;8;9;10"
Root_5,38.835584,13.155520,9,"0;3;4;5;6;7;8;9;10"
Root_6,182.643734,32.733280,8,"3;4;5;6;7;8;9;10"
Root_7,27.340640,8.813568,10,"0;1;2;4;5;6;7;8;9;10"
Root_8,151.024214,29.091328,9,"1;2;4;5;6;7;8;9;10"
Root_9,35.829440,14.143168,9,"0;2;4;5;6;7;8;9;10"
Root_10,189.720214,33.720928,8,"2;4;5;6;7;8;9;10"
Root_11,30.118400,9.739488,9,"0;1;4;5;6;7;8;9;10"
Root_12,156.183414,30.017248,8,"1;4;5;6;7;8;9;10"
Root_13,38.676288,15.069088,8,"0;4;5;6;7;8;9;10"
Root_14,194.879414,34.646848,7,"4;5;6;7;8;9;10"
Root_15,24.602336,7.722208,10,"0;1;2;3;5;6;7;8;9;10"
Root_16,155.510614,29.399968,9,"1;2;3;5;6;7;8;9;10"
Root_17,44.020736,14.451808,9,"0;2;3;5;6;7;8;9;10"
Root_18,194.206614,34.029568,8,"2;3;5;6;7;8;9;10"
Root_19,28.306016,8.648128,9,"0;1;3;5;6;7;8;9;10"
Root_20,160.669814,30.325888,8,"1;3;5;6;7;8;9;10"
Root_21,48.404544,15.377728,8,"0;3;5;6;7;8;9;10"
Root_22,199.365814,34.955488,7,"3;5;6;7;8;9;10"
Root_23,34.772640,11.035776,9,"0;1;2;5;6;7;8;9;10"
Root_24,167.746294,31.313536,8,"1;2;5;6;7;8;9;10"
Root_25,45.908160,16.365376,8,"0;2;5;6;7;8;9;10"
Root_26,206.442294,35.943136,7,"2;5;6;7;8;9;10"
Root_27,38.476320,11.961696,8,"0;1;5;6;7;8;9;10"
Root_28,172.905494,32.239456,7,"1;5;6;7;8;9;10"
Root_29,51.072384,17.291296,7,"0;5;6;7;8;9;10"
Root_30,211.601494,36.869056,6,"5;6;7;8;9;10"
Root_31,20.093760,6.343200,10,"0;1;2;3;4;6;7;8;9;10"
Root_32,149.420534,28.720960,9,"1;2;3;4;6;7;8;9;10"
Root_33,41.304704,13.772800,9,"0;2;3;4;6;7;8;9;10"
Root_34,188.116534,33.350560,8,"2;3;4;6;7;8;9;10"
Root_35,22.789984,7.269120,9,"0;1;3;4;6;7;8;9;10"
Root_36,154.579734,29.646880,8,"1;3;4;6;7;8;9;10"
Root_37,45.008384,14.698720,8,"0;3;4;6;7;8;9;10"
Root_38,193.275734,34.276480,7,"3;4;6;7;8;9;10"
Root_39,32.056608,10.356768,9,"0;1;2;4;6;7;8;9;10"
Root_40,161.656214,30.634528,8,"1;2;4;6;7;8;9;10"
Root_41,41.756448,15.686368,8,"0;2;4;6;7;8;9;10"
Root_42,200.352214,35.264128,7,"2;4;6;7;8;9;10"
Root_43,35.760288,11.282688,8,"0;1;4;6;7;8;9;10"
Root_44,166.815414,31.560448,7,"1;4;6;7;8;9;10"
Root_45,46.998336,16.612288,7,"0;4;6;7;8;9;10"
Root_46,205.511414,36.190048,6,"4;6;7;8;9;10"
Root_47,30.775136,9.265408,9,"0;1;2;3;6;7;8;9;10"
Root_48,166.142614,30.943168,8,"1;2;3;6;7;8;9;10"
Root_49,52.129152,15.995008,8,"0;2;3;6;7;8;9;10"
Root_50,204.838614,35.572768,7,"2;3;6;7;8;9;10"
Root_51,34.478816,10.191328,8,"0;1;3;6;7;8;9;10"
Root_52,171.301814,31.869088,7,"1;3;6;7;8;9;10"
Root_53,57.663744,16.920928,7,"0;3;6;7;8;9;10"
Root_54,209.997814,36.498688,6,"3;6;7;8;9;10"
Root_55,40.945440,12.578976,8,"0;1;2;6;7;8;9;10"
Root_56,178.378294,32.856736,7,"1;2;6;7;8;9;10"
Root_57,56.710560,17.908576,7,"0;2;6;7;8;9;10"
Root_58,217.074294,37.486336,6,"2;6;7;8;9;10"
Root_59,44.649120,13.504896,7,"0;1;6;7;8;9;10"
Root_60,183.537494,33.782656,6,"1;6;7;8;9;10"
Root_61,60.331584,18.834496,6,"0;6;7;8;9;10"
Root_62,222.233494,38.412256,5,"6;7;8;9;10"
Root_63,22.617146,7.225910,10,"0;1;2;3;4;5;7;8;9;10"
Root_64,158.247638,29.603670,9,"1;2;3;4;5;7;8;9;10"
Root_65,44.835546,14.655510,9,"0;2;3;4;5;7;8;9;10"
Root_66,196.943638,34.233270,8,"2;3;4;5;7;8;9;10"
Root_67,26.320826,8.151830,9,"0;1;3;4;5;7;8;9;10"
Root_68,163.406838,30.529590,8,"1;3;4;5;7;8;9;10"
Root_69,49.626758,15.581430,8,"0;3;4;5;7;8;9;10"
Root_70,202.102838,35.159190,7,"3;4;5;7;8;9;10"
Root_71,35.587450,11.239478,9,"0;1;2;4;5;7;8;9;10"
Root_72,170.483318,31.517238,8,"1;2;4;5;7;8;9;10"
Root_73,47.334077,16.569078,8,"0;2;4;5;7;8;9;10"
Root_74,209.179318,36.146838,7,"2;4;5;7;8;9;10"
Root_75,39.291130,12.165398,8,"0;1;4;5;7;8;9;10"
Root_76,175.642518,32.443158,7,"1;4;5;7;8;9;10"
Root_77,52.294598,17.494998,7,"0;4;5;7;8;9;10"
Root_78,214.338518,37.072758,6,"4;5;7;8;9;10"
Root_79,34.305978,10.148118,9,"0;1;2;3;5;7;8;9;10"
Root_80,174.969718,31.825878,8,"1;2;3;5;7;8;9;10"
Root_81,58.308125,16.877718,8,"0;2;3;5;7;8;9;10"
Root_82,213.665718,36.455478,7,"2;3;5;7;8;9;10"
Root_83,38.813296,11.074038,8,"0;1;3;5;7;8;9;10"
Root_84,180.128918,32.751798,7,"1;3;5;7;8;9;10"
Root_85,62.960006,17.803638,7,"0;3;5;7;8;9;10"
Root_86,218.824918,37.381398,6,"3;5;7;8;9;10"
Root_87,44.476282,13.461686,8,"0;1;2;5;7;8;9;10"
Root_88,187.205398,33.739446,7,"1;2;5;7;8;9;10"
Root_89,62.889533,18.791286,7,"0;2;5;7;8;9;10"
Root_90,225.901398,38.369046,6,"2;5;7;8;9;10"
Root_91,48.179962,14.387606,7,"0;1;5;7;8;9;10"
Root_92,192.364598,34.665366,6,"1;5;7;8;9;10"
