Time,UB,LB
0.000000,709.664632,8.730784
0.247596,709.664632,18.425205
0.248280,530.473595,18.425205
0.249165,483.742971,18.425205
0.254438,476.129451,18.425205
0.265665,463.372731,18.425205
0.275955,460.046291,18.425205
0.304773,456.315270,18.425205
0.354211,442.818744,18.425205
0.515227,378.956566,18.425205
0.515730,343.843286,18.425205
0.525286,326.971542,18.425205
0.525737,312.434219,18.425205
0.526205,305.468907,18.425205
0.540264,301.391638,18.425205
0.543279,297.687958,18.425205
0.580552,295.628989,18.425205
0.748861,295.415912,18.425205
0.862674,293.671653,18.425205
0.863158,286.706341,18.425205
0.874712,283.496485,18.425205
0.877846,281.027365,18.425205
0.892429,277.164168,18.425205
0.892881,270.198856,18.425205
0.986328,268.084672,18.425205
1.158997,266.961107,18.425205
1.371032,264.846923,18.425205
25.880470,260.626558,18.425205
25.880879,254.620968,18.425205
25.881252,247.655656,18.425205
25.924014,241.952467,18.425205
26.110846,239.838283,18.425205
26.488706,238.725915,18.425205
26.951334,237.034568,18.425205
614.933284,237.034568,19.008534
615.024508,237.034568,19.934454
615.523692,237.034568,20.277045
642.857966,237.034568,21.202965
642.910760,237.034568,21.786294
642.973527,237.034568,23.054805
643.004153,237.034568,33.917110
643.106171,237.034568,35.146678
643.200176,237.034568,36.454131
643.251652,237.034568,37.462774
643.387775,237.034568,37.620790
643.442284,237.034568,37.683699
643.492806,237.034568,38.147958
643.545154,237.034568,38.850358
643.597668,237.034568,39.172598
643.649293,237.034568,39.576958
643.709130,237.034568,39.594870
643.794692,237.034568,40.157811
643.824038,237.034568,40.262142
643.853301,237.034568,40.549174
643.913224,237.034568,41.234358
643.939560,237.034568,41.286782
643.964052,237.034568,41.387379
643.989555,237.034568,41.428766
644.019128,237.034568,42.258998
644.045205,237.034568,42.400982
644.076738,237.034568,42.663358
644.111669,237.034568,43.326934
644.179661,237.034568,44.373182
644.192872,237.034568,44.515166
644.211024,237.034568,45.028150
644.303276,237.034568,45.178742
644.336131,237.034568,45.246694
644.462332,237.034568,46.997238
644.495607,237.034568,47.565171
644.545291,237.034568,47.783715
644.610145,237.034568,47.805878
644.656977,237.034568,48.024422
644.723103,237.034568,48.265142
644.740074,237.034568,48.821910
644.789804,237.034568,49.076878
644.861555,237.034568,50.342899
644.887445,237.034568,50.561443
644.919545,237.034568,50.982390
644.968195,237.034568,51.509558
644.991862,237.034568,51.728102
645.023710,237.034568,51.781768
645.047191,237.034568,52.036736
645.080298,237.034568,52.923126
645.136342,237.034568,52.965742
645.202156,237.034568,53.361398
645.227716,237.034568,54.046579
645.239851,237.034568,54.265123
645.254866,237.034568,54.569974
645.311365,237.034568,54.824942
645.381536,237.034568,54.997110
645.409624,237.034568,55.121262
645.443570,237.034568,55.303350
645.471740,237.034568,55.801448
645.501887,237.034568,55.925600
645.539596,237.034568,56.725494
645.571847,237.034568,56.980462
645.610801,237.034568,57.162550
645.642543,237.034568,57.286702
645.679462,237.034568,57.529832
645.710839,237.034568,57.747702
645.725638,237.034568,57.784800
645.763067,237.034568,57.956968
645.777506,237.034568,58.890934
645.807931,237.034568,59.145902
645.845982,237.034568,59.318070
645.861506,237.034568,59.685352
645.876359,237.034568,59.940320
645.894124,237.034568,60.014390
645.911703,237.034568,60.122408
645.927371,237.034568,60.315645
645.945212,237.034568,60.760086
646.046238,237.034568,61.046454
646.062594,237.034568,61.051414
646.095513,237.034568,61.301422
646.115013,237.034568,61.850792
646.130155,237.034568,62.105760
646.147206,237.034568,62.277928
646.154360,237.034568,63.034766
646.191303,237.034568,63.206934
646.207146,237.034568,63.841526
646.262279,237.034568,64.006312
646.270350,237.034568,64.142781
646.324588,237.034568,64.261280
646.332641,237.034568,64.542742
646.381781,237.034568,64.834134
646.448648,237.034568,65.190286
646.467305,237.034568,65.372374
646.481774,237.034568,65.698326
646.535621,237.034568,66.809430
646.602414,237.034568,67.224221
646.630926,237.034568,67.355726
646.650001,237.034568,67.527894
646.657419,237.034568,67.624182
646.682641,237.034568,67.915574
646.717315,237.034568,67.925437
646.744183,237.034568,68.216829
646.779346,237.034568,68.779766
646.809138,237.034568,69.081021
646.839105,237.034568,69.480982
646.865147,237.034568,69.534038
646.874235,237.034568,69.772374
646.909310,237.034568,69.890870
646.944740,237.034568,70.192125
646.978160,237.034568,70.704470
647.040269,237.034568,71.006877
647.053173,237.034568,71.298269
647.068972,237.034568,71.747670
647.102613,237.034568,72.162461
647.116102,237.034568,72.562422
647.128001,237.034568,72.853814
647.144303,237.034568,72.863677
647.157117,237.034568,73.155069
647.173751,237.034568,73.273565
647.189308,237.034568,73.361174
647.219970,237.034568,73.664328
647.250998,237.034568,74.062390
647.279521,237.034568,74.216790
647.314112,237.034568,74.353782
647.349248,237.034568,74.829110
647.364684,237.034568,75.130365
647.379649,237.034568,75.217974
647.410740,237.034568,75.945117
647.417071,237.034568,76.236509
647.424110,237.034568,76.329078
647.458817,237.034568,76.743869
647.473188,237.034568,77.143830
647.486049,237.034568,77.298230
647.500960,237.034568,77.435222
647.516540,237.034568,77.445085
647.529080,237.034568,77.736477
647.544254,237.034568,77.934131
647.559347,237.034568,78.211805
647.566336,237.034568,78.299414
647.579385,237.034568,78.600669
647.592762,237.034568,79.000630
647.605810,237.034568,79.100790
647.620440,237.034568,79.155030
647.635112,237.034568,79.292022
647.650308,237.034568,79.410518
647.666497,237.034568,79.648854
647.733231,237.034568,79.662515
647.751217,237.034568,79.711773
647.766707,237.034568,79.917483
647.783905,237.034568,80.526525
647.790051,237.034568,80.817917
647.796880,237.034568,80.829174
647.811233,237.034568,81.084142
647.830702,237.034568,81.267318
647.846313,237.034568,81.637811
647.853784,237.034568,81.682109
647.860276,237.034568,82.082070
647.866414,237.034568,82.236470
647.873030,237.034568,82.373462
647.879689,237.034568,82.383325
647.885798,237.034568,82.510758
647.903177,237.034568,82.674717
647.911187,237.034568,82.730294
647.945175,237.034568,82.793213
647.953177,237.034568,82.982166
648.002751,237.034568,83.031549
648.036898,237.034568,83.366195
648.045021,237.034568,83.621163
648.054049,237.034568,83.736438
648.071768,237.034568,83.789782
648.112567,237.034568,84.348758
648.121129,237.034568,84.587094
648.157141,237.034568,84.650013
648.166019,237.034568,84.957462
648.217914,237.034568,85.464765
648.221390,237.034568,85.756157
648.225135,237.034568,85.903966
648.241324,237.034568,86.063606
648.266302,237.034568,86.112989
648.282623,237.034568,86.143955
648.290713,237.034568,86.214438
648.298593,237.034568,86.364861
648.323860,237.034568,86.817878
648.331418,237.034568,86.876182
648.347084,237.034568,87.047766
648.379549,237.034568,87.310614
648.387789,237.034568,87.668534
648.402930,237.034568,87.731453
648.406588,237.034568,87.920406
648.432453,237.034568,87.969789
648.448249,237.034568,88.038902
648.473394,237.034568,88.127307
648.482875,237.034568,88.340157
648.506779,237.034568,88.674678
648.514365,237.034568,88.990366
648.522082,237.034568,89.031510
648.553794,237.034568,89.168502
648.588301,237.034568,89.293966
648.597302,237.034568,89.446301
648.609188,237.034568,89.584787
648.623779,237.034568,89.653942
648.640648,237.034568,89.847635
648.644564,237.034568,89.895702
648.670087,237.034568,90.751446
648.686786,237.034568,91.001846
648.700345,237.034568,91.051229
648.708158,237.034568,91.303101
648.721218,237.034568,91.421597
648.733597,237.034568,91.756118
648.737370,237.034568,91.830987
648.741789,237.034568,92.112950
648.756723,237.034568,92.249942
648.772776,237.034568,92.414205
648.787205,237.034568,92.501814
648.817683,237.034568,92.551197
648.833982,237.034568,92.740342
648.841973,237.034568,92.977142
648.853946,237.034568,93.278397
648.865257,237.034568,93.288467
648.872756,237.034568,93.969750
648.888270,237.034568,93.985958
648.896357,237.034568,94.084758
648.912502,237.034568,94.106742
648.928051,237.034568,94.384541
648.934474,237.034568,94.477110
648.964367,237.034568,94.818054
648.981565,237.034568,95.073022
649.000869,237.034568,95.495645
649.007996,237.034568,95.583254
649.021711,237.034568,95.632637
649.028946,237.034568,95.884509
649.042358,237.034568,96.298195
649.059113,237.034568,96.359837
649.065132,237.034568,96.929238
649.100335,237.034568,97.051190
649.108026,237.034568,97.147782
649.147784,237.034568,97.188182
649.155720,237.034568,97.293398
649.171899,237.034568,97.352445
649.178848,237.034568,97.355075
649.186695,237.034568,97.440054
649.201351,237.034568,97.464854
649.219923,237.034568,97.489437
649.228240,237.034568,97.558550
649.243389,237.034568,97.610043
649.253558,237.034568,97.689638
649.257815,237.034568,97.788438
649.266006,237.034568,97.859805
649.280544,237.034568,98.521734
649.289819,237.034568,98.522966
649.307045,237.034568,98.551158
649.325754,237.034568,98.776702
649.335939,237.034568,98.825430
649.374470,237.034568,98.965949
649.381673,237.034568,99.177318
649.391165,237.034568,99.415350
649.407153,237.034568,99.466259
649.424071,237.034568,99.684803
649.444190,237.034568,100.001875
649.454133,237.034568,100.433885
649.457869,237.034568,100.521494
649.465197,237.034568,100.570877
649.469945,237.034568,100.632918
649.486143,237.034568,100.822248
649.504361,237.034568,100.822749
649.511400,237.034568,100.851462
649.531151,237.034568,100.941245
649.539132,237.034568,100.997078
649.547195,237.034568,101.058755
649.551924,237.034568,101.059987
649.559658,237.034568,101.113640
649.579490,237.034568,101.200694
649.596624,237.034568,101.247510
649.604493,237.034568,101.313723
649.608815,237.034568,101.455662
649.627918,237.034568,101.538902
649.636621,237.034568,101.632598
649.643724,237.034568,101.785288
649.660585,237.034568,101.870934
649.694222,237.034568,101.933853
649.702104,237.034568,102.183350
649.717207,237.034568,102.226646
649.725407,237.034568,102.474742
649.744519,237.034568,102.484758
649.761229,237.034568,102.496790
649.768401,237.034568,102.798045
649.774843,237.034568,102.880998
649.778724,237.034568,103.088936
649.797137,237.034568,103.169939
649.804760,237.034568,103.282846
649.813198,237.034568,103.388483
649.821834,237.034568,103.489398
649.829389,237.034568,103.737715
649.837120,237.034568,103.784531
649.840751,237.034568,103.846230
649.872298,237.034568,103.904189
649.875801,237.034568,103.966230
649.892003,237.034568,103.992683
649.900906,237.034568,104.075923
649.905108,237.034568,104.184774
649.924686,237.034568,104.450038
649.942449,237.034568,104.904374
649.950319,237.034568,104.952374
649.965959,237.034568,105.015293
649.969546,237.034568,105.143208
649.977544,237.034568,105.159342
649.986272,237.034568,105.253629
650.001159,237.034568,105.434600
650.009198,237.034568,105.559958
650.016896,237.034568,105.819867
650.020908,237.034568,105.879485
650.023965,237.034568,106.051219
650.027757,237.034568,106.188438
650.035234,237.034568,106.293254
650.042624,237.034568,106.392054
650.058025,237.034568,106.548222
650.066819,237.034568,106.570838
650.070366,237.034568,106.647022
650.088134,237.034568,106.809174
650.103823,237.034568,106.872093
650.107401,237.034568,106.927670
650.123040,237.034568,106.986526
650.127647,237.034568,107.179542
650.152452,237.034568,107.228925
650.167234,237.034568,107.409896
650.175590,237.034568,107.441395
650.179160,237.034568,107.669910
650.186644,237.034568,107.696363
650.190451,237.034568,107.888454
650.198369,237.034568,107.940214
650.229975,237.034568,108.195182
650.272525,237.034568,108.335069
650.280247,237.034568,108.784470
650.295753,237.034568,108.830275
650.299960,237.034568,108.929075
650.307184,237.034568,109.085243
650.311327,237.034568,109.184043
650.319330,237.034568,109.263638
650.323243,237.034568,109.523547
650.325264,237.034568,109.665486
650.333953,237.034568,109.890614
650.341233,237.034568,109.953533
650.343010,237.034568,109.996934
650.347066,237.034568,110.095734
650.354652,237.034568,110.191869
650.361683,237.034568,110.251902
650.366006,237.034568,110.260982
650.377525,237.034568,110.310365
650.384576,237.034568,110.350702
650.392537,237.034568,110.496296
650.401412,237.034568,110.562237
650.412858,237.034568,110.758806
650.448772,237.034568,110.900072
650.464940,237.034568,111.155040
650.484456,237.034568,111.201878
650.594193,237.034568,111.390582
650.611325,237.034568,111.453734
650.628563,237.034568,111.484614
650.636737,237.034568,111.739582
650.645283,237.034568,111.857398
650.653797,237.034568,111.865910
650.660778,237.034568,112.117782
650.672628,237.034568,112.167165
650.679527,237.034568,112.202507
650.683845,237.034568,112.514294
650.716447,237.034568,112.586960
650.718392,237.034568,112.632755
650.722283,237.034568,112.769262
650.761803,237.034568,112.878352
650.764204,237.034568,112.887723
650.768726,237.034568,113.100142
650.773347,237.034568,113.273309
650.776794,237.034568,113.295827
650.793135,237.034568,113.365878
650.809056,237.034568,113.369166
650.813574,237.034568,113.595798
650.827887,237.034568,113.643677
650.833815,237.034568,113.814342
650.851308,237.034568,113.990755
650.859909,237.034568,114.021635
650.863963,237.034568,114.072358
650.868690,237.034568,114.082664
650.869752,237.034568,114.276603
650.873817,237.034568,114.283318
650.927882,237.034568,114.462486
650.948138,237.034568,114.472022
650.956381,237.034568,114.584573
651.010733,237.034568,114.758046
651.015815,237.034568,114.773277
651.023653,237.034568,114.817256
651.027990,237.034568,114.856846
651.036843,237.034568,115.145790
651.073281,237.034568,115.157414
651.082063,237.034568,115.188294
651.086233,237.034568,115.199222
651.092022,237.034568,115.248605
651.095468,237.034568,115.295814
651.115103,237.034568,115.443262
651.120059,237.034568,115.474152
651.135952,237.034568,115.500477
651.142071,237.034568,115.729120
651.159651,237.034568,115.906187
651.161833,237.034568,115.928360
651.181241,237.034568,116.132819
651.188991,237.034568,116.140118
651.242954,237.034568,116.201275
651.245391,237.034568,116.328822
651.253248,237.034568,116.351363
651.261313,237.034568,116.405006
651.281837,237.034568,116.447318
651.289654,237.034568,116.699190
651.304280,237.034568,116.748573
651.311663,237.034568,116.835254
651.327665,237.034568,116.999507
651.336080,237.034568,117.090222
651.353854,237.034568,117.289462
651.374048,237.034568,117.295067
651.376236,237.034568,117.299478
651.383954,237.034568,117.393867
651.388119,237.034568,117.518022
651.396244,237.034568,117.666013
651.422681,237.034568,117.694435
651.427100,237.034568,117.725315
651.429021,237.034568,117.795798
651.446289,237.034568,117.832835
651.455076,237.034568,117.854717
651.458623,237.034568,117.980283
651.460592,237.034568,118.105648
651.478017,237.034568,118.299606
651.510316,237.034568,118.304118
651.519032,237.034568,118.305430
651.536397,237.034568,118.461726
651.538673,237.034568,118.560526
651.542584,237.034568,118.581917
651.545606,237.034568,118.656744
651.546568,237.034568,118.809142
651.554026,237.034568,118.999494
651.561805,237.034568,119.100534
651.570142,237.034568,119.221558
651.596578,237.034568,119.261672
651.613273,237.034568,119.410262
651.617127,237.034568,119.466750
651.634330,237.034568,119.522813
651.661260,237.034568,119.546805
651.670415,237.034568,119.711517
651.674064,237.034568,119.780630
651.680491,237.034568,119.795112
651.687876,237.034568,119.830013
651.691323,237.034568,119.836499
651.694621,237.034568,119.949406
651.698546,237.034568,120.040099
651.702524,237.034568,120.050080
651.710042,237.034568,120.078432
651.713598,237.034568,120.081885
651.719694,237.034568,120.249320
651.728057,237.034568,120.385128
651.729034,237.034568,120.584534
651.785794,237.034568,120.622774
651.805648,237.034568,120.632790
651.813634,237.034568,120.721526
651.880263,237.034568,120.770398
651.900883,237.034568,120.851334
651.909911,237.034568,120.979086
651.928680,237.034568,120.990280
651.943705,237.034568,120.998747
651.944762,237.034568,121.097547
651.946873,237.034568,121.102350
651.956251,237.034568,121.206758
651.960650,237.034568,121.236968
651.977314,237.034568,121.265288
651.985507,237.034568,121.385558
651.989058,237.034568,121.499478
651.996871,237.034568,121.637430
652.003490,237.034568,121.686813
652.006829,237.034568,121.769000
