Time,UB,LB
0.000000,319.120278,17.407360
0.003724,319.120278,30.017184
0.005484,319.120278,32.817184
0.007092,319.120278,36.520864
0.007961,319.120278,38.086304
0.009557,319.120278,41.617146
0.009572,179.509504,41.617146
0.009588,173.939741,41.617146
0.009597,161.961981,41.617146
0.009725,158.984115,41.617146
0.010029,158.965603,41.617146
0.010411,157.732282,41.617146
0.010429,155.273082,41.617146
0.018085,153.995450,41.617146
0.019319,153.873082,41.617146
0.019426,151.532400,41.617146
0.204221,150.158214,41.617146
0.623156,146.858406,41.617146
0.623205,145.421382,41.617146
0.623751,144.117626,41.617146
0.624351,143.191600,41.617146
0.632593,142.087939,41.617146
0.633093,142.017626,41.617146
0.635209,141.791600,41.617146
0.921999,141.117414,41.617146
0.951305,140.643440,41.617146
0.958500,140.417414,41.617146
1.441876,140.332400,41.617146
1.448703,140.203856,41.617146
1.448925,140.023718,41.617146
1.958188,130.258406,41.617146
1.958285,124.702749,41.617146
1.960127,124.702749,41.789984
1.961516,124.702749,42.340640
1.962979,124.702749,42.761536
1.963657,124.702749,42.920832
1.965062,124.702749,43.602336
1.966424,124.702749,45.320826
1.967794,124.702749,45.493664
1.968149,124.702749,45.587488
1.969515,124.702749,46.624512
1.970917,124.702749,46.797280
1.971646,124.702749,47.306016
1.993737,121.318960,47.306016
1.995748,117.818960,47.306016
2.748203,117.818960,47.631904
2.749621,117.818960,47.789946
2.750292,117.818960,48.056608
2.750957,117.818960,49.024506
2.751294,117.818960,49.129408
2.751949,117.818960,49.291168
2.752295,117.818960,49.775136
2.752969,117.818960,49.883680
2.753549,117.818960,50.672608
2.753913,117.818960,50.772640
2.754588,117.818960,51.313344
2.754946,117.818960,51.335584
2.756311,117.818960,51.426880
2.756508,117.818960,51.587450
2.757227,117.818960,51.760288
2.757926,117.818960,51.918256
2.758603,117.818960,52.361504
2.760031,117.818960,52.524448
2.760714,117.818960,53.066464
2.762078,117.818960,53.115776
2.762754,117.818960,53.278720
2.763123,117.818960,53.542960
2.763783,117.818960,53.759008
2.764486,117.818960,53.982496
2.765168,117.818960,54.183696
3.429399,117.818960,54.297232
3.429735,117.818960,54.399744
3.430394,117.818960,54.476320
3.431061,117.818960,54.513280
3.431408,117.818960,55.039264
3.431746,117.818960,55.456528
3.432414,117.818960,55.672576
3.432594,117.818960,55.831808
3.433273,117.818960,56.536768
3.433979,117.818960,56.547856
3.434169,117.818960,56.604704
3.434916,117.818960,56.991104
3.436249,117.818960,57.154048
3.436944,117.818960,57.291040
3.437287,117.818960,57.347744
3.437631,117.818960,57.524416
3.437984,117.818960,57.672608
3.438684,117.818960,57.696064
3.440090,117.818960,57.745376
3.440805,117.818960,57.908320
3.441182,117.818960,58.172560
3.441885,117.818960,58.388608
3.442081,117.818960,58.450336
3.442808,117.818960,58.542928
3.443186,117.818960,58.612000
3.443557,117.818960,58.813296
3.444319,117.818960,58.926832
3.444769,117.818960,59.029344
3.444974,117.818960,59.067616
3.445169,117.818960,59.142880
3.445295,117.818960,59.709632
3.446065,117.818960,60.077504
3.446783,117.818960,60.086128
3.447003,117.818960,60.135546
3.447682,117.818960,60.240448
3.448051,117.818960,60.308384
3.861500,117.818960,60.461408
3.862173,117.818960,60.782464
3.862863,117.818960,60.831776
3.863200,117.818960,60.994720
3.863375,117.818960,61.166368
3.864098,117.818960,61.215680
3.864274,117.818960,61.258960
3.864612,117.818960,61.376288
3.865311,117.818960,61.536736
3.865652,117.818960,61.620704
3.866453,117.818960,61.783648
3.866641,117.818960,61.899696
3.866996,117.818960,61.920640
3.867375,117.818960,61.937968
3.867742,117.818960,62.013232
3.867924,117.818960,62.120736
3.868678,117.818960,62.154016
3.869043,117.818960,62.254016
3.869220,117.818960,62.325664
3.869570,117.818960,62.374976
3.869759,117.818960,62.537920
3.869870,117.818960,62.802160
3.870051,117.818960,62.903264
3.870238,117.818960,63.079936
3.870419,117.818960,63.172528
3.870781,117.818960,63.241600
3.870968,117.818960,63.413312
3.871696,117.818960,63.442896
3.871894,117.818960,63.472544
3.872655,117.818960,63.556432
3.872776,117.818960,63.839226
3.873494,117.818960,63.845408
3.873843,117.818960,63.939104
3.874193,117.818960,64.012064
3.874385,117.818960,64.177504
3.875067,117.818960,64.252768
3.875427,117.818960,64.491056
3.876113,117.818960,64.618112
3.876465,117.818960,64.654000
3.876806,117.818960,64.702256
3.877646,117.818960,64.707104
3.878346,117.818960,64.870048
3.878725,117.818960,64.931776
3.879068,117.818960,65.007040
3.879261,117.818960,65.079968
3.879450,117.818960,65.091008
3.879640,117.818960,65.196016
3.880310,117.818960,65.412064
3.881013,117.818960,65.461376
3.881299,117.818960,65.488454
3.881516,117.818960,65.624320
3.881631,117.818960,65.747712
3.881749,117.818960,65.795968
3.881953,117.818960,65.824416
3.882710,117.818960,65.840326
3.883076,117.818960,65.845280
3.883197,117.818960,65.882432
3.883558,117.818960,65.888560
3.883978,117.818960,65.950288
3.884348,117.818960,65.957696
3.884473,117.818960,66.099584
3.884668,117.818960,66.166336
3.888252,116.426426,66.166336
3.901896,114.214010,66.166336
4.080001,111.436250,66.166336
4.118571,111.436250,66.308346
4.118920,111.436250,66.328000
4.119102,111.436250,66.529296
4.119455,111.436250,66.550240
4.119548,111.436250,66.561440
4.119884,111.436250,66.567568
4.120233,111.436250,66.606944
4.120407,111.436250,66.642832
4.120503,111.436250,66.783616
4.120600,111.436250,66.969926
4.120697,111.436250,67.116992
4.120875,111.436250,67.376250
4.121214,111.436250,67.484864
4.121935,111.436250,67.542906
4.122123,111.436250,67.549088
4.122477,111.436250,67.647808
4.122828,111.436250,67.802128
4.122930,111.436250,68.013152
4.123267,111.436250,68.102144
4.123928,111.436250,68.177408
4.124102,111.436250,68.293536
4.124441,111.436250,68.666320
4.124785,111.436250,68.805824
4.125464,111.436250,68.807104
4.126140,111.436250,68.856416
4.126314,111.436250,68.882368
4.126677,111.436250,68.931680
4.126775,111.436250,68.968768
4.127113,111.436250,69.061216
4.127212,111.436250,69.081024
4.127389,111.436250,69.120656
4.128072,111.436250,69.235366
4.128413,111.436250,69.283600
4.128778,111.436250,69.336704
4.128956,111.436250,69.432896
4.129297,111.436250,69.494624
4.129482,111.436250,69.499648
4.129589,111.436250,69.528096
4.129771,111.436250,69.561376
4.130132,111.436250,69.586112
4.130313,111.436250,69.636640
4.130413,111.436250,69.653968
4.130590,111.436250,69.825616
4.131550,111.436250,69.874928
4.131738,111.436250,69.980992
4.131923,111.436250,69.987280
4.132271,111.436250,70.012026
4.132640,111.436250,70.037872
4.132744,111.436250,70.041664
4.132932,111.436250,70.090976
4.133038,111.436250,70.173632
4.133234,111.436250,70.203328
4.133427,111.436250,70.253920
4.133499,111.436250,70.265056
4.133890,111.436250,70.265120
4.134105,111.436250,70.303238
4.134292,111.436250,70.332864
4.134643,111.436250,70.518160
4.134753,111.436250,70.562496
4.134862,111.436250,70.579888
4.135237,111.436250,70.680992
4.135426,111.436250,70.795936
4.135534,111.436250,70.882336
4.135727,111.436250,70.930592
4.136474,111.436250,71.043974
4.136592,111.436250,71.079930
4.136779,111.436250,71.158896
4.136886,111.436250,71.197168
4.136990,111.436250,71.203206
4.137179,111.436250,71.209472
4.137538,111.436250,71.252768
4.137645,111.436250,71.272432
4.137719,111.436250,71.288656
4.138533,111.436250,71.395846
4.138730,111.436250,71.462464
4.138840,111.436250,71.572448
4.139023,111.436250,71.624384
4.139374,111.436250,71.824378
4.139721,111.436250,71.893504
4.140068,111.436250,71.900848
4.140256,111.436250,71.989533
4.140439,111.436250,71.997216
4.140809,111.436250,72.114464
4.141160,111.436250,72.277408
4.141541,111.436250,72.292000
4.141651,111.436250,72.302144
4.141833,111.436250,72.320576
4.142188,111.436250,72.370000
4.142393,111.436250,72.431686
4.142739,111.436250,72.435264
4.142851,111.436250,72.590960
4.143037,111.436250,72.647776
4.143221,111.436250,72.731744
4.143406,111.436250,72.787136
4.143589,111.436250,72.807008
4.143699,111.436250,72.827936
4.144067,111.436250,72.868736
4.144251,111.436250,72.912016
4.144598,111.436250,72.981088
4.144950,111.436250,73.031680
4.145057,111.436250,73.116954
4.145241,111.436250,73.135264
4.145347,111.436250,73.289792
4.145457,111.436250,73.295920
4.145837,111.436250,73.435424
4.146204,111.436250,73.436704
4.146418,111.436250,73.474976
4.146607,111.436250,73.486016
4.146715,111.436250,73.511968
4.146827,111.436250,73.568672
4.147020,111.436250,73.598368
4.147212,111.436250,73.657478
4.147320,111.436250,73.666288
4.147515,111.436250,73.715706
4.147626,111.436250,73.750256
4.147815,111.436250,73.877312
4.148000,111.436250,73.913200
4.148110,111.436250,73.916736
4.148185,111.436250,73.968736
4.148371,111.436250,73.968800
4.148480,111.436250,74.050192
4.148593,111.436250,74.104352
4.148949,111.436250,74.190976
4.149062,111.436250,74.266240
4.149135,111.436250,74.283568
4.149353,111.436250,74.357478
4.149467,111.436250,74.455216
4.149659,111.436250,74.504528
4.149768,111.436250,74.616736
4.149839,111.436250,74.616880
4.150040,111.436250,74.634272
4.150796,111.436250,74.636544
4.150917,111.436250,74.667472
4.150991,111.436250,74.747654
4.151098,111.436250,74.783610
4.151210,111.436250,74.790886
4.151406,111.436250,74.795776
4.151598,111.436250,74.892326
4.152439,111.436250,74.894656
4.152648,111.436250,74.987248
4.152833,111.436250,74.988416
4.153030,111.436250,75.099526
4.153216,111.436250,75.209488
4.153326,111.436250,75.495776
4.153511,111.436250,75.528058
4.153895,111.436250,75.584768
4.154267,111.436250,75.645056
4.154381,111.436250,75.672384
4.154574,111.436250,75.700896
4.154689,111.436250,75.813296
