Time,UB,LB
0.000000,387.353293,19.459200
0.008580,387.353293,66.073187
0.009568,387.353293,66.711523
0.010053,387.353293,68.238627
0.011883,371.316576,69.864611
0.011908,202.716736,69.864611
0.011926,186.146867,69.864611
0.011936,174.169107,69.864611
0.023771,173.613862,69.864611
0.068236,168.799078,69.864611
0.708075,161.209587,69.864611
0.708089,155.298918,69.864611
0.708097,143.321158,69.864611
0.708975,143.215258,69.864611
0.712046,141.631987,69.864611
1.384297,141.194083,69.864611
1.439140,140.168048,69.864611
1.548203,139.949498,69.864611
1.550352,139.084346,69.864611
1.852035,139.084346,72.497914
2.786849,139.084346,78.357114
2.913702,139.084346,79.327514
2.914481,139.084346,79.560995
2.918499,139.084346,80.320355
2.921888,139.084346,81.412835
2.923662,139.084346,83.098115
2.927210,139.084346,83.349690
2.930434,139.084346,83.490499
2.930841,139.084346,84.975674
2.932446,139.084346,85.479258
2.933225,139.084346,85.500314
2.933622,139.084346,85.980835
2.936861,139.084346,86.472099
2.937297,139.084346,86.533763
2.938091,139.084346,86.555843
2.939594,139.084346,87.353635
2.941211,139.084346,87.524035
2.942902,139.084346,88.070787
2.943322,139.084346,88.149926
2.947229,139.084346,88.216346
2.947647,139.084346,88.557155
3.765362,139.084346,88.874298
3.766111,139.084346,89.031155
3.766482,139.084346,89.479395
3.768195,139.084346,89.531203
3.769064,139.084346,89.558266
3.770809,139.084346,89.892810
3.771589,139.084346,90.001766
3.773240,139.084346,90.096675
3.774979,139.084346,90.168163
3.775212,139.084346,90.242435
3.776031,139.084346,90.566970
3.776799,139.084346,90.634851
3.778319,139.084346,91.223706
3.779928,139.084346,91.426256
3.783558,139.084346,91.774298
3.784456,139.084346,91.894275
3.786052,139.084346,92.238755
3.786895,139.084346,92.249754
3.790772,139.084346,92.638554
3.791249,139.084346,92.644899
3.791490,139.084346,92.779526
3.793232,139.084346,92.890566
3.794108,139.084346,92.953306
3.795716,139.084346,93.075610
3.796483,139.084346,93.134627
3.796698,139.084346,93.137443
3.797557,139.084346,93.143546
3.798409,139.084346,93.278096
3.800129,139.084346,93.283002
3.800948,139.084346,93.563203
3.801177,139.084346,93.589453
3.801398,139.084346,93.610211
3.802997,139.084346,93.627517
3.804700,139.084346,93.955779
3.804925,139.084346,93.971818
3.806468,139.084346,94.097811
3.807342,139.084346,94.101594
3.808974,139.084346,94.243587
3.809233,139.084346,94.249763
3.809690,139.084346,94.271843
3.810138,139.084346,94.389146
3.810377,139.084346,94.442435
3.811185,139.084346,94.447043
3.811595,139.084346,94.542234
3.813148,139.084346,94.620154
3.814919,139.084346,94.631366
3.815804,139.084346,94.729955
3.816207,139.084346,95.203955
3.816420,139.084346,95.360931
3.816645,139.084346,95.542058
3.816859,139.084346,95.602704
3.818410,139.084346,96.175741
3.818645,139.084346,96.287715
3.819094,139.084346,96.364496
3.819951,139.084346,96.471994
3.820858,139.084346,96.590298
3.821327,139.084346,96.675789
3.821759,139.084346,96.825123
3.822164,139.084346,96.879354
3.824021,139.084346,96.959619
3.824288,139.084346,96.990394
3.825177,139.084346,97.168112
3.826886,139.084346,97.247203
3.827361,139.084346,97.268285
4.383822,139.084346,97.445987
4.384290,139.084346,97.520166
4.384711,139.084346,97.608810
4.385123,139.084346,97.639728
4.386856,139.084346,97.644803
4.387295,139.084346,97.722512
4.388096,139.084346,97.773146
4.388473,139.084346,97.774429
4.388670,139.084346,97.919987
4.388869,139.084346,97.924835
4.389415,139.084346,98.223642
4.391160,139.084346,98.250835
4.392893,139.084346,98.295315
4.393775,139.084346,98.298723
4.394203,139.084346,98.350851
4.395065,139.084346,98.383139
4.395296,139.084346,98.411555
4.395727,139.084346,98.663315
4.396152,139.084346,98.731194
