Time,UB,LB
0.000000,387.353293,19.459200
14.945930,387.353293,36.635094
18.028172,387.353293,39.412854
18.028212,211.412918,39.412854
18.028236,197.058035,39.412854
18.028246,185.080275,39.412854
18.028352,183.198835,39.412854
18.029916,183.180323,39.412854
18.030261,181.947002,39.412854
18.030282,179.487802,39.412854
18.032656,178.870416,39.412854
18.082968,177.058330,39.412854
18.084476,175.747120,39.412854
20.228604,175.524774,39.412854
20.296847,175.258150,39.412854
21.082021,174.976742,39.412854
87.628664,164.324861,39.412854
87.628934,158.398835,39.412854
87.630666,157.953235,39.412854
87.636031,152.454298,39.412854
87.636046,152.084269,39.412854
87.646942,145.823683,39.412854
87.746381,143.871728,39.412854
87.977668,141.862106,39.412854
100.075625,141.194083,39.412854
100.705067,140.168048,39.412854
102.307600,139.949498,39.412854
102.315998,139.084346,39.412854
194.499690,139.084346,48.184470
197.909695,139.084346,49.171757
198.491040,139.084346,49.269750
201.336032,139.084346,50.962230
202.018937,139.084346,52.973430
202.599054,139.084346,55.253910
203.161101,139.084346,56.080659
206.102315,139.084346,57.592182
209.050051,139.084346,57.913174
358.097898,139.084346,58.363734
358.298323,139.084346,59.134637
359.541630,139.084346,59.784339
360.469250,139.084346,60.369942
361.438633,139.084346,60.690934
362.389157,139.084346,60.959926
367.121595,139.084346,61.241110
368.055128,139.084346,62.936310
369.223139,139.084346,63.657430
369.406752,139.084346,63.840054
369.582737,139.084346,64.479734
370.535577,139.084346,64.514006
370.735025,139.084346,65.057366
370.946737,139.084346,65.264758
371.883909,139.084346,65.549974
372.817143,139.084346,65.636179
454.874757,139.084346,66.363638
455.910439,139.084346,66.435190
455.945736,139.084346,66.638870
455.982129,139.084346,66.684630
456.962995,139.084346,67.422870
457.150351,139.084346,67.748886
458.285767,139.084346,67.885622
458.503627,139.084346,67.935158
458.697759,139.084346,68.039030
458.905161,139.084346,68.063574
459.086972,139.084346,68.105718
460.252353,139.084346,68.317853
461.222000,139.084346,68.413939
461.408712,139.084346,68.536470
461.604513,139.084346,68.559894
461.788755,139.084346,68.966070
462.702089,139.084346,69.133725
463.779461,139.084346,69.157373
463.964704,139.084346,69.173590
469.784303,139.084346,69.359862
470.712391,139.084346,69.463734
471.802286,139.084346,69.785910
472.878212,139.084346,69.890870
538.025390,139.084346,69.957558
538.156217,139.084346,69.984582
538.720045,139.084346,70.336438
538.853810,139.084346,70.526646
538.993718,139.084346,70.582077
539.556145,139.084346,70.709334
539.665960,139.084346,70.712918
539.688558,139.084346,70.799318
540.255134,139.084346,70.817910
540.368099,139.084346,70.937782
540.926256,139.084346,70.985565
541.061457,139.084346,71.095613
541.176251,139.084346,71.315574
541.309541,139.084346,71.935133
541.332012,139.084346,71.951350
542.023754,139.084346,71.995638
542.605416,139.084346,72.001821
542.718529,139.084346,72.134038
543.269510,139.084346,72.137622
543.384726,139.084346,72.563670
543.517873,139.084346,72.916630
543.539998,139.084346,73.052534
543.565074,139.084346,73.120182
543.697565,139.084346,73.332822
544.369977,139.084346,73.359837
544.484708,139.084346,73.487094
565.606325,139.084346,73.553782
565.718897,139.084346,73.577078
565.830826,139.084346,74.114294
568.624465,139.084346,74.400630
568.737828,139.084346,74.773398
568.850170,139.084346,74.911798
568.960978,139.084346,75.001782
569.087922,139.084346,75.041334
569.199499,139.084346,75.184662
569.330714,139.084346,75.472150
569.355954,139.084346,75.498102
569.490998,139.084346,75.675830
569.515432,139.084346,75.694390
569.519851,139.084346,75.873325
570.100041,139.084346,76.095581
570.663630,139.084346,76.461078
570.687789,139.084346,76.689494
570.713346,139.084346,76.710163
570.842545,139.084346,76.892054
571.412138,139.084346,77.038806
571.538967,139.084346,77.127670
571.543739,139.084346,77.535126
571.674378,139.084346,77.543670
571.696126,139.084346,77.588150
571.824155,139.084346,77.610358
571.934158,139.084346,77.655987
572.046243,139.084346,77.819094
572.068552,139.084346,77.979437
572.202856,139.084346,78.047510
572.228706,139.084346,78.071965
572.253702,139.084346,78.663149
572.275918,139.084346,78.873341
572.393096,139.084346,78.968374
572.504253,139.084346,78.969587
572.526028,139.084346,79.012854
573.197060,139.084346,79.036275
573.311632,139.084346,79.064854
573.333760,139.084346,79.075830
573.462844,139.084346,79.351254
573.484693,139.084346,79.391837
573.616784,139.084346,79.416499
573.639379,139.084346,79.417942
573.750323,139.084346,79.468141
573.870466,139.084346,79.501782
573.895848,139.084346,79.669581
573.900672,139.084346,79.686966
574.026929,139.084346,79.831277
574.052432,139.084346,79.831542
